A1,sigma1,sigma2,delta1,delta2
0.000050, -100000000.000000, -100000000.000000, 0.000000, 0.000000
0.000051, -99009900.990099, -100990099.009901, 0.000010, -0.000010
0.000052, -98039215.686275, -101960784.313725, 0.000020, -0.000020
0.000053, -97087378.640777, -102912621.359223, 0.000029, -0.000029
0.000054, -96153846.153846, -103846153.846154, 0.000038, -0.000038
0.000055, -95238095.238095, -104761904.761905, 0.000048, -0.000048
0.000056, -94339622.641509, -105660377.358491, 0.000057, -0.000057
0.000057, -93457943.925234, -106542056.074766, 0.000065, -0.000065
0.000058, -92592592.592593, -107407407.407407, 0.000074, -0.000074
0.000059, -91743119.266055, -108256880.733945, 0.000083, -0.000083
0.000060, -90909090.909091, -109090909.090909, 0.000091, -0.000091
0.000061, -90090090.090090, -109909909.909910, 0.000099, -0.000099
0.000062, -89285714.285714, -110714285.714286, 0.000107, -0.000107
0.000063, -88495575.221239, -111504424.778761, 0.000115, -0.000115
0.000064, -87719298.245614, -112280701.754386, 0.000123, -0.000123
0.000065, -86956521.739130, -113043478.260870, 0.000130, -0.000130
0.000066, -86206896.551724, -113793103.448276, 0.000138, -0.000138
0.000067, -85470085.470085, -114529914.529914, 0.000145, -0.000145
0.000068, -84745762.711864, -115254237.288136, 0.000153, -0.000153
0.000069, -84033613.445378, -115966386.554622, 0.000160, -0.000160
0.000070, -83333333.333333, -116666666.666667, 0.000167, -0.000167
0.000071, -82644628.099174, -117355371.900826, 0.000174, -0.000174
0.000072, -81967213.114754, -118032786.885246, 0.000180, -0.000180
0.000073, -81300813.008130, -118699186.991870, 0.000187, -0.000187
0.000074, -80645161.290323, -119354838.709677, 0.000194, -0.000194
0.000075, -80000000.000000, -120000000.000000, 0.000200, -0.000200
0.000076, -79365079.365079, -120634920.634921, 0.000206, -0.000206
0.000077, -78740157.480315, -121259842.519685, 0.000213, -0.000213
0.000078, -78125000.000000, -121875000.000000, 0.000219, -0.000219
0.000079, -77519379.844961, -122480620.155039, 0.000225, -0.000225
0.000080, -76923076.923077, -123076923.076923, 0.000231, -0.000231
0.000081, -76335877.862595, -123664122.137405, 0.000237, -0.000237
0.000082, -75757575.757576, -124242424.242424, 0.000242, -0.000242
0.000083, -75187969.924812, -124812030.075188, 0.000248, -0.000248
0.000084, -74626865.671642, -125373134.328358, 0.000254, -0.000254
0.000085, -74074074.074074, -125925925.925926, 0.000259, -0.000259
0.000086, -73529411.764706, -126470588.235294, 0.000265, -0.000265
0.000087, -72992700.729927, -127007299.270073, 0.000270, -0.000270
0.000088, -72463768.115942, -127536231.884058, 0.000275, -0.000275
0.000089, -71942446.043166, -128057553.956834, 0.000281, -0.000281
0.000090, -71428571.428571, -128571428.571429, 0.000286, -0.000286
0.000091, -70921985.815603, -129078014.184397, 0.000291, -0.000291
0.000092, -70422535.211268, -129577464.788732, 0.000296, -0.000296
0.000093, -69930069.930070, -130069930.069930, 0.000301, -0.000301
0.000094, -69444444.444444, -130555555.555555, 0.000306, -0.000306
0.000095, -68965517.241379, -131034482.758621, 0.000310, -0.000310
0.000096, -68493150.684932, -131506849.315068, 0.000315, -0.000315
0.000097, -68027210.884354, -131972789.115646, 0.000320, -0.000320
0.000098, -67567567.567568, -132432432.432432, 0.000324, -0.000324
0.000099, -67114093.959732, -132885906.040268, 0.000329, -0.000329
0.000100, -66666666.666667, -133333333.333333, 0.000333, -0.000333
0.000101, -66225165.562914, -133774834.437086, 0.000338, -0.000338
0.000102, -65789473.684211, -134210526.315789, 0.000342, -0.000342
0.000103, -65359477.124183, -134640522.875817, 0.000346, -0.000346
0.000104, -64935064.935065, -135064935.064935, 0.000351, -0.000351
0.000105, -64516129.032258, -135483870.967742, 0.000355, -0.000355
0.000106, -64102564.102564, -135897435.897436, 0.000359, -0.000359
0.000107, -63694267.515924, -136305732.484076, 0.000363, -0.000363
0.000108, -63291139.240506, -136708860.759494, 0.000367, -0.000367
0.000109, -62893081.761006, -137106918.238994, 0.000371, -0.000371
0.000110, -62500000.000000, -137500000.000000, 0.000375, -0.000375
0.000111, -62111801.242236, -137888198.757764, 0.000379, -0.000379
0.000112, -61728395.061728, -138271604.938272, 0.000383, -0.000383
0.000113, -61349693.251534, -138650306.748466, 0.000387, -0.000387
0.000114, -60975609.756098, -139024390.243902, 0.000390, -0.000390
0.000115, -60606060.606061, -139393939.393939, 0.000394, -0.000394
0.000116, -60240963.855422, -139759036.144578, 0.000398, -0.000398
0.000117, -59880239.520958, -140119760.479042, 0.000401, -0.000401
0.000118, -59523809.523810, -140476190.476190, 0.000405, -0.000405
0.000119, -59171597.633136, -140828402.366864, 0.000408, -0.000408
0.000120, -58823529.411765, -141176470.588235, 0.000412, -0.000412
0.000121, -58479532.163743, -141520467.836257, 0.000415, -0.000415
0.000122, -58139534.883721, -141860465.116279, 0.000419, -0.000419
0.000123, -57803468.208093, -142196531.791907, 0.000422, -0.000422
0.000124, -57471264.367816, -142528735.632184, 0.000425, -0.000425
0.000125, -57142857.142857, -142857142.857143, 0.000429, -0.000429
0.000126, -56818181.818182, -143181818.181818, 0.000432, -0.000432
0.000127, -56497175.141243, -143502824.858757, 0.000435, -0.000435
0.000128, -56179775.280899, -143820224.719101, 0.000438, -0.000438
0.000129, -55865921.787710, -144134078.212290, 0.000441, -0.000441
