n, trapezoidal, midpoint, simpson
1, 0.750000, 0.800000, 0.783333
2, 0.775000, 0.790588, 0.785392
3, 0.780769, 0.787712, 0.785398
4, 0.782794, 0.786700, 0.785398
5, 0.783732, 0.786231, 0.785398
6, 0.784241, 0.785977, 0.785398
7, 0.784548, 0.785823, 0.785398
8, 0.784747, 0.785724, 0.785398
9, 0.784884, 0.785655, 0.785398
10, 0.784981, 0.785606, 0.785398
11, 0.785054, 0.785570, 0.785398
12, 0.785109, 0.785543, 0.785398
13, 0.785152, 0.785521, 0.785398
14, 0.785186, 0.785504, 0.785398
15, 0.785213, 0.785491, 0.785398
16, 0.785235, 0.785480, 0.785398
17, 0.785254, 0.785470, 0.785398
18, 0.785270, 0.785462, 0.785398
19, 0.785283, 0.785456, 0.785398
20, 0.785294, 0.785450, 0.785398
