W,trapezoidal,midpoint,simpson
1, 0.278855, 0.278781, 0.278806
2, 0.008311, 0.008281, 0.008291
3, 0.000040, 0.000039, 0.000039
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
31, 0.000000, 0.000000, 0.000000
32, 0.000000, 0.000000, 0.000000
33, 0.000000, 0.000000, 0.000000
34, 0.000000, 0.000000, 0.000000
35, 0.000000, 0.000000, 0.000000
36, 0.000000, 0.000000, 0.000000
37, 0.000000, 0.000000, 0.000000
38, 0.000000, 0.000000, 0.000000
39, 0.000000, 0.000000, 0.000000
40, 0.000001, 0.000001, 0.000000
41, 0.000001, 0.000001, 0.000000
42, 0.000003, 0.000003, 0.000001
43, 0.000006, 0.000006, 0.000002
44, 0.000010, 0.000010, 0.000003
45, 0.000018, 0.000018, 0.000006
46, 0.000031, 0.000031, 0.000010
47, 0.000050, 0.000050, 0.000017
48, 0.000079, 0.000079, 0.000026
49, 0.000122, 0.000122, 0.000041
50, 0.000183, 0.000183, 0.000061
51, 0.000269, 0.000269, 0.000090
52, 0.000386, 0.000386, 0.000129
53, 0.000543, 0.000543, 0.000181
54, 0.000750, 0.000750, 0.000250
55, 0.001017, 0.001017, 0.000339
56, 0.001357, 0.001357, 0.000452
57, 0.001784, 0.001784, 0.000595
58, 0.002313, 0.002313, 0.000771
59, 0.002960, 0.002960, 0.000987
60, 0.003741, 0.003741, 0.001247
61, 0.004675, 0.004675, 0.001558
62, 0.005780, 0.005780, 0.001927
63, 0.007075, 0.007075, 0.002358
64, 0.008579, 0.008579, 0.002860
65, 0.010312, 0.010312, 0.003437
66, 0.012291, 0.012291, 0.004097
67, 0.014537, 0.014537, 0.004846
68, 0.017068, 0.017068, 0.005689
69, 0.019900, 0.019900, 0.006633
70, 0.023052, 0.023052, 0.007684
71, 0.026539, 0.026539, 0.008846
72, 0.030375, 0.030375, 0.010125
73, 0.034575, 0.034575, 0.011525
74, 0.039151, 0.039151, 0.013050
75, 0.044114, 0.044114, 0.014705
76, 0.049474, 0.049474, 0.016491
77, 0.055240, 0.055240, 0.018413
78, 0.061419, 0.061418, 0.020472
79, 0.068016, 0.068015, 0.022671
80, 0.075036, 0.075034, 0.025011
81, 0.082481, 0.082479, 0.027492
82, 0.090354, 0.090351, 0.030116
83, 0.098656, 0.098651, 0.032882
84, 0.107384, 0.107378, 0.035791
85, 0.116538, 0.116529, 0.038840
86, 0.126114, 0.126102, 0.042030
87, 0.136108, 0.136092, 0.045359
88, 0.146515, 0.146494, 0.048825
89, 0.157330, 0.157302, 0.052425
90, 0.168545, 0.168508, 0.056157
91, 0.180153, 0.180106, 0.060019
92, 0.192146, 0.192085, 0.064008
93, 0.204515, 0.204437, 0.068119
94, 0.217252, 0.217152, 0.072351
95, 0.230345, 0.230219, 0.076698
96, 0.243786, 0.243628, 0.081156
97, 0.257564, 0.257366, 0.085723
98, 0.271667, 0.271423, 0.090393
99, 0.286086, 0.285786, 0.095162
100, 0.300809, 0.300442, 0.100025
101, 0.315825, 0.315380, 0.104978
