W,trapezoidal,midpoint,simpson
1, 0.157327, 0.157285, 0.157299
2, 0.004689, 0.004672, 0.004678
3, 0.000022, 0.000022, 0.000022
4, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000
11, 0.000000, 0.000000, 0.000000
12, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000
14, 0.000000, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000
17, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.000000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.000000, 0.000000
31, 0.000000, 0.000000, 0.000000
32, 0.000000, 0.000000, 0.000000
33, 0.000000, 0.000000, 0.000000
34, 0.000000, 0.000000, 0.000000
35, 0.000000, 0.000000, 0.000000
36, 0.000000, 0.000000, 0.000000
37, 0.000000, 0.000000, 0.000000
38, 0.000000, 0.000000, 0.000000
39, 0.000000, 0.000000, 0.000000
40, 0.000000, 0.000000, 0.000000
41, 0.000001, 0.000001, 0.000000
42, 0.000002, 0.000002, 0.000001
43, 0.000003, 0.000003, 0.000001
44, 0.000006, 0.000006, 0.000002
45, 0.000010, 0.000010, 0.000003
46, 0.000017, 0.000017, 0.000006
47, 0.000028, 0.000028, 0.000009
48, 0.000045, 0.000045, 0.000015
49, 0.000069, 0.000069, 0.000023
50, 0.000103, 0.000103, 0.000034
51, 0.000152, 0.000152, 0.000051
52, 0.000218, 0.000218, 0.000073
53, 0.000306, 0.000306, 0.000102
54, 0.000423, 0.000423, 0.000141
55, 0.000574, 0.000574, 0.000191
56, 0.000766, 0.000766, 0.000255
57, 0.001007, 0.001007, 0.000336
58, 0.001305, 0.001305, 0.000435
59, 0.001670, 0.001670, 0.000557
60, 0.002111, 0.002111, 0.000704
61, 0.002638, 0.002638, 0.000879
62, 0.003261, 0.003261, 0.001087
63, 0.003992, 0.003992, 0.001331
64, 0.004840, 0.004840, 0.001613
65, 0.005818, 0.005818, 0.001939
66, 0.006935, 0.006935, 0.002312
67, 0.008202, 0.008202, 0.002734
68, 0.009629, 0.009629, 0.003210
69, 0.011228, 0.011228, 0.003743
70, 0.013006, 0.013006, 0.004335
71, 0.014973, 0.014973, 0.004991
72, 0.017137, 0.017137, 0.005712
73, 0.019507, 0.019507, 0.006502
74, 0.022089, 0.022088, 0.007363
75, 0.024889, 0.024889, 0.008296
76, 0.027913, 0.027913, 0.009304
77, 0.031166, 0.031166, 0.010388
78, 0.034652, 0.034651, 0.011550
79, 0.038374, 0.038373, 0.012791
80, 0.042334, 0.042334, 0.014111
81, 0.046535, 0.046534, 0.015511
82, 0.050977, 0.050975, 0.016991
83, 0.055660, 0.055658, 0.018552
84, 0.060585, 0.060582, 0.020193
85, 0.065749, 0.065745, 0.021913
86, 0.071152, 0.071146, 0.023713
87, 0.076791, 0.076782, 0.025591
88, 0.082662, 0.082651, 0.027546
89, 0.088764, 0.088748, 0.029578
90, 0.095091, 0.095071, 0.031683
91, 0.101640, 0.101614, 0.033862
92, 0.108407, 0.108372, 0.036113
93, 0.115385, 0.115341, 0.038432
94, 0.122571, 0.122515, 0.040819
95, 0.129958, 0.129887, 0.043272
96, 0.137542, 0.137452, 0.045788
97, 0.145315, 0.145203, 0.048364
98, 0.153272, 0.153134, 0.050999
99, 0.161407, 0.161237, 0.053689
100, 0.169713, 0.169506, 0.056433
101, 0.178185, 0.177934, 0.059228
