W,trapezoidal,midpoint,simpson
1, 1.493599, 1.493673, 1.493648
2, 1.764143, 1.764173, 1.764163
3, 1.772414, 1.772415, 1.772415
4, 1.772454, 1.772454, 1.772454
5, 1.772454, 1.772454, 1.772454
6, 1.772454, 1.772454, 1.772454
7, 1.772454, 1.772454, 1.772454
8, 1.772454, 1.772454, 1.772454
9, 1.772454, 1.772454, 1.772454
10, 1.772454, 1.772454, 1.772454
11, 1.772454, 1.772454, 1.772454
12, 1.772454, 1.772454, 1.772454
13, 1.772454, 1.772454, 1.772454
14, 1.772454, 1.772454, 1.772454
15, 1.772454, 1.772454, 1.772454
16, 1.772454, 1.772454, 1.772454
17, 1.772454, 1.772454, 1.772454
18, 1.772454, 1.772454, 1.772454
19, 1.772454, 1.772454, 1.772454
20, 1.772454, 1.772454, 1.772454
21, 1.772454, 1.772454, 1.772454
22, 1.772454, 1.772454, 1.772454
23, 1.772454, 1.772454, 1.772454
24, 1.772454, 1.772454, 1.772454
25, 1.772454, 1.772454, 1.772454
26, 1.772454, 1.772454, 1.772454
27, 1.772454, 1.772454, 1.772454
28, 1.772454, 1.772454, 1.772454
29, 1.772454, 1.772454, 1.772454
30, 1.772454, 1.772454, 1.772454
31, 1.772454, 1.772454, 1.772454
32, 1.772454, 1.772454, 1.772454
33, 1.772454, 1.772454, 1.772454
34, 1.772454, 1.772454, 1.772454
35, 1.772454, 1.772454, 1.772454
36, 1.772454, 1.772454, 1.772454
37, 1.772454, 1.772454, 1.772454
38, 1.772454, 1.772454, 1.772454
39, 1.772454, 1.772454, 1.772454
40, 1.772455, 1.772453, 1.772454
41, 1.772455, 1.772452, 1.772453
42, 1.772457, 1.772451, 1.772453
43, 1.772460, 1.772448, 1.772452
44, 1.772464, 1.772444, 1.772450
45, 1.772472, 1.772436, 1.772448
46, 1.772484, 1.772423, 1.772444
47, 1.772504, 1.772404, 1.772437
48, 1.772533, 1.772375, 1.772427
49, 1.772576, 1.772332, 1.772413
50, 1.772637, 1.772270, 1.772393
51, 1.772723, 1.772185, 1.772364
52, 1.772840, 1.772068, 1.772325
53, 1.772997, 1.771911, 1.772273
54, 1.773203, 1.771704, 1.772204
55, 1.773471, 1.771437, 1.772115
56, 1.773811, 1.771097, 1.772002
57, 1.774238, 1.770670, 1.771859
58, 1.774767, 1.770141, 1.771683
59, 1.775414, 1.769494, 1.771467
60, 1.776195, 1.768713, 1.771207
61, 1.777129, 1.767779, 1.770895
62, 1.778234, 1.766674, 1.770527
63, 1.779529, 1.765379, 1.770095
64, 1.781033, 1.763875, 1.769594
65, 1.782765, 1.762142, 1.769017
66, 1.784745, 1.760163, 1.768357
67, 1.786991, 1.757917, 1.767608
68, 1.789522, 1.755386, 1.766765
69, 1.792354, 1.752553, 1.765820
70, 1.795506, 1.749402, 1.764770
71, 1.798992, 1.745915, 1.763608
72, 1.802829, 1.742079, 1.762329
73, 1.807029, 1.737879, 1.760929
74, 1.811605, 1.733303, 1.759404
75, 1.816568, 1.728340, 1.757749
76, 1.821928, 1.722980, 1.755963
77, 1.827694, 1.717214, 1.754041
78, 1.833873, 1.711036, 1.751981
79, 1.840470, 1.704439, 1.749783
80, 1.847489, 1.697420, 1.747443
81, 1.854935, 1.689975, 1.744961
82, 1.862808, 1.682102, 1.742338
83, 1.871109, 1.673802, 1.739571
84, 1.879838, 1.665076, 1.736663
85, 1.888992, 1.655924, 1.733613
86, 1.898567, 1.646352, 1.730424
87, 1.908562, 1.636362, 1.727095
88, 1.918969, 1.625960, 1.723629
89, 1.929783, 1.615152, 1.720029
90, 1.940998, 1.603945, 1.716296
91, 1.952607, 1.592348, 1.712434
92, 1.964600, 1.580369, 1.708446
93, 1.976969, 1.568017, 1.704334
94, 1.989705, 1.555302, 1.700103
95, 2.002799, 1.542235, 1.695756
96, 2.016240, 1.528826, 1.691297
97, 2.030017, 1.515088, 1.686731
98, 2.044121, 1.501031, 1.682061
99, 2.058540, 1.486668, 1.677292
100, 2.073263, 1.472011, 1.672429
101, 2.088279, 1.457074, 1.667476
102, 2.103577, 1.441868, 1.662438
103, 2.119146, 1.426408, 1.657321
104, 2.134975, 1.410705, 1.652128
105, 2.151052, 1.394774, 1.646866
106, 2.167367, 1.378627, 1.641540
107, 2.183909, 1.362278, 1.636155
108, 2.200667, 1.345740, 1.630716
109, 2.217631, 1.329026, 1.625228
110, 2.234791, 1.312150, 1.619697
111, 2.252137, 1.295124, 1.614129
112, 2.269659, 1.277962, 1.608528
113, 2.287349, 1.260677, 1.602901
114, 2.305196, 1.243280, 1.597252
115, 2.323192, 1.225785, 1.591588
116, 2.341329, 1.208205, 1.585913
117, 2.359599, 1.190550, 1.580233
118, 2.377993, 1.172834, 1.574554
119, 2.396504, 1.155069, 1.568880
120, 2.415125, 1.137265, 1.563218
121, 2.433850, 1.119434, 1.557572
122, 2.452671, 1.101587, 1.551948
123, 2.471582, 1.083736, 1.546351
124, 2.490578, 1.065890, 1.540786
125, 2.509652, 1.048061, 1.535258
126, 2.528800, 1.030258, 1.529772
127, 2.548016, 1.012491, 1.524333
128, 2.567296, 0.994770, 1.518945
129, 2.586635, 0.977104, 1.513614
130, 2.606028, 0.959503, 1.508345
131, 2.625472, 0.941974, 1.503140
132, 2.644963, 0.924527, 1.498006
133, 2.664498, 0.907169, 1.492946
134, 2.684073, 0.889910, 1.487964
135, 2.703685, 0.872755, 1.483065
136, 2.723331, 0.855713, 1.478252
137, 2.743008, 0.838790, 1.473529
138, 2.762714, 0.821994, 1.468901
139, 2.782447, 0.805331, 1.464370
140, 2.802205, 0.788807, 1.459940
141, 2.821984, 0.772429, 1.455614
142, 2.841784, 0.756201, 1.451395
143, 2.861603, 0.740129, 1.447287
144, 2.881439, 0.724218, 1.443292
145, 2.901291, 0.708474, 1.439413
146, 2.921157, 0.692900, 1.435653
147, 2.941036, 0.677502, 1.432013
148, 2.960927, 0.662282, 1.428497
149, 2.980829, 0.647246, 1.425107
150, 3.000740, 0.632395, 1.421844
151, 3.020661, 0.617735, 1.418710
152, 3.040589, 0.603267, 1.415708
153, 3.060525, 0.588995, 1.412838
154, 3.080467, 0.574921, 1.410103
155, 3.100416, 0.561047, 1.407503
156, 3.120369, 0.547376, 1.405040
157, 3.140328, 0.533909, 1.402715
158, 3.160291, 0.520648, 1.400529
159, 3.180258, 0.507595, 1.398483
160, 3.200229, 0.494750, 1.396576
161, 3.220202, 0.482116, 1.394811
162, 3.240179, 0.469691, 1.393187
163, 3.260158, 0.457478, 1.391705
164, 3.280140, 0.445477, 1.390365
165, 3.300123, 0.433688, 1.389166
166, 3.320108, 0.422111, 1.388110
167, 3.340095, 0.410745, 1.387195
168, 3.360084, 0.399592, 1.386423
169, 3.380074, 0.388650, 1.385791
170, 3.400065, 0.377918, 1.385300
171, 3.420057, 0.367397, 1.384950
172, 3.440050, 0.357085, 1.384740
173, 3.460044, 0.346981, 1.384669
174, 3.480038, 0.337085, 1.384736
