t,x,dx,x_true
0.000000, 1.000000, 0.000000, 1.000000
0.100000, 1.000000, -0.300000, 0.985037
0.200000, 0.970000, -0.600000, 0.940598
0.300000, 0.910000, -0.891000, 0.868010
0.400000, 0.820900, -1.164000, 0.769448
0.500000, 0.704500, -1.410270, 0.647859
0.600000, 0.563473, -1.621620, 0.506884
0.700000, 0.401311, -1.790662, 0.350740
0.800000, 0.222245, -1.911055, 0.184100
0.900000, 0.031139, -1.977729, 0.011950
1.000000, -0.166634, -1.987070, -0.160557
1.100000, -0.365341, -1.937080, -0.328259
1.200000, -0.559049, -1.827478, -0.486138
1.300000, -0.741796, -1.659764, -0.629469
1.400000, -0.907773, -1.437225, -0.753963
1.500000, -1.051495, -1.164893, -0.855895
1.600000, -1.167985, -0.849444, -0.932215
1.700000, -1.252929, -0.499049, -0.980637
1.800000, -1.302834, -0.123170, -0.999714
1.900000, -1.315151, 0.267680, -0.988875
2.000000, -1.288383, 0.662225, -0.948443
2.100000, -1.222160, 1.048740, -0.879629
2.200000, -1.117286, 1.415388, -0.784492
2.300000, -0.975748, 1.750574, -0.665880
2.400000, -0.800690, 2.043298, -0.527340
2.500000, -0.596360, 2.283505, -0.373020
2.600000, -0.368010, 2.462414, -0.207537
2.700000, -0.121768, 2.572816, -0.035844
2.800000, 0.135513, 2.609347, 0.136922
2.900000, 0.396448, 2.568693, 0.305590
3.000000, 0.653317, 2.449759, 0.465114
3.100000, 0.898293, 2.253763, 0.610719
3.200000, 1.123669, 1.984275, 0.738049
3.300000, 1.322097, 1.647175, 0.843292
3.400000, 1.486814, 1.250545, 0.923299
3.500000, 1.611869, 0.804501, 0.975677
3.600000, 1.692319, 0.320940, 0.998858
3.700000, 1.724413, -0.186755, 0.992147
3.800000, 1.705738, -0.704079, 0.955747
3.900000, 1.635330, -1.215801, 0.890746
4.000000, 1.513750, -1.706399, 0.799089
4.100000, 1.343110, -2.160524, 0.683519
4.200000, 1.127057, -2.563457, 0.547495
4.300000, 0.870712, -2.901574, 0.395088
4.400000, 0.580554, -3.162788, 0.230857
4.500000, 0.264275, -3.336954, 0.059717
4.600000, -0.069420, -3.416237, -0.113209
4.700000, -0.411044, -3.395411, -0.282747
4.800000, -0.750585, -3.272098, -0.443825
4.900000, -1.077795, -3.046922, -0.591620
5.000000, -1.382487, -2.723584, -0.721712
5.100000, -1.654845, -2.308838, -0.830206
5.200000, -1.885729, -1.812384, -0.913856
5.300000, -2.066967, -1.246665, -0.970159
5.400000, -2.191634, -0.626575, -0.997430
5.500000, -2.254291, 0.030915, -0.994853
5.600000, -2.251200, 0.707202, -0.962505
5.700000, -2.180480, 1.382562, -0.901354
5.800000, -2.042223, 2.036706, -0.813229
5.900000, -1.838553, 2.649373, -0.700769
6.000000, -1.573616, 3.200939, -0.567338
6.100000, -1.253522, 3.673024, -0.416929
6.200000, -0.886219, 4.049080, -0.254044
6.300000, -0.481311, 4.314946, -0.083557
6.400000, -0.049817, 4.459339, 0.089431
6.500000, 0.396117, 4.474284, 0.259743
6.600000, 0.843546, 4.355449, 0.422282
6.700000, 1.279091, 4.102385, 0.572184
6.800000, 1.689329, 3.718658, 0.704963
6.900000, 2.061195, 3.211859, 0.816646
7.000000, 2.382381, 2.593501, 0.903892
7.100000, 2.641731, 1.878787, 0.964088
7.200000, 2.829610, 1.086267, 0.995433
7.300000, 2.938237, 0.237384, 0.996991
7.400000, 2.961975, -0.644087, 0.968713
7.500000, 2.897566, -1.532679, 0.911446
7.600000, 2.744298, -2.401949, 0.826905
7.700000, 2.504104, -3.225239, 0.717618
7.800000, 2.181580, -3.976470, 0.586856
7.900000, 1.783933, -4.630943, 0.438533
8.000000, 1.320838, -5.166123, 0.277086
8.100000, 0.804226, -5.562375, 0.107348
8.200000, 0.247989, -5.803643, -0.065603
8.300000, -0.332376, -5.878039, -0.236590
8.400000, -0.920180, -5.778326, -0.400498
8.500000, -1.498012, -5.502273, -0.552420
8.600000, -2.048240, -5.052869, -0.687812
8.700000, -2.553526, -4.438397, -0.802620
8.800000, -2.997366, -3.672339, -0.893410
8.900000, -3.364600, -2.773129, -0.957465
9.000000, -3.641913, -1.763749, -0.992868
9.100000, -3.818288, -0.671175, -0.998559
9.200000, -3.885405, 0.474311, -0.974368
9.300000, -3.837974, 1.639933, -0.921018
9.400000, -3.673981, 2.791325, -0.840108
9.500000, -3.394849, 3.893519, -0.734057
9.600000, -3.005497, 4.911974, -0.606039
9.700000, -2.514299, 5.813623, -0.459886
9.800000, -1.932937, 6.567913, -0.299970
9.900000, -1.276146, 7.147794, -0.131078
10.000000, -0.561366, 7.530637, 0.041736
