t,x,dx,x_true
0.000000, 1.000000, 0.000000, 1.000000
0.100000, 0.985000, -0.300000, 0.985037
0.200000, 0.940225, -0.595500, 0.940598
0.300000, 0.866572, -0.877568, 0.868010
0.400000, 0.765816, -1.137539, 0.769448
0.500000, 0.640575, -1.367284, 0.647859
0.600000, 0.494238, -1.559456, 0.506884
0.700000, 0.330879, -1.707728, 0.350740
0.800000, 0.155143, -1.806992, 0.184100
0.900000, -0.027883, -1.853534, 0.011950
1.000000, -0.212819, -1.845169, -0.160557
1.100000, -0.394143, -1.781324, -0.328259
1.200000, -0.566363, -1.663081, -0.486138
1.300000, -0.724176, -1.493172, -0.629469
1.400000, -0.862631, -1.275919, -0.753963
1.500000, -0.977283, -1.017130, -0.855895
1.600000, -1.064337, -0.723945, -0.932215
1.700000, -1.120766, -0.404644, -0.980637
1.800000, -1.144419, -0.068414, -0.999714
1.900000, -1.134094, 0.274912, -0.988875
2.000000, -1.089592, 0.615140, -0.948443
2.100000, -1.011734, 0.942018, -0.879629
2.200000, -0.902356, 1.245538, -0.784492
2.300000, -0.764267, 1.516244, -0.665880
2.400000, -0.601178, 1.745525, -0.527340
2.500000, -0.417608, 1.925878, -0.373020
2.600000, -0.218756, 2.051161, -0.207537
2.700000, -0.010359, 2.116788, -0.035844
2.800000, 0.201475, 2.119895, 0.136922
2.900000, 0.410443, 2.059453, 0.305590
3.000000, 0.610231, 1.936320, 0.465114
3.100000, 0.794710, 1.753251, 0.610719
3.200000, 0.958114, 1.514838, 0.738049
3.300000, 1.095226, 1.227403, 0.843292
3.400000, 1.201538, 0.898836, 0.923299
3.500000, 1.273399, 0.538374, 0.975677
3.600000, 1.308135, 0.156355, 0.998858
3.700000, 1.304148, -0.236086, 0.992147
3.800000, 1.260978, -0.627330, 0.955747
3.900000, 1.179330, -1.005624, 0.890746
4.000000, 1.061078, -1.359423, 0.799089
4.100000, 0.909219, -1.677746, 0.683519
4.200000, 0.727806, -1.950512, 0.547495
4.300000, 0.521838, -2.168854, 0.395088
4.400000, 0.297125, -2.325405, 0.230857
4.500000, 0.060128, -2.414543, 0.059717
4.600000, -0.182228, -2.432581, -0.113209
4.700000, -0.422753, -2.377912, -0.282747
4.800000, -0.654203, -2.251086, -0.443825
4.900000, -0.869499, -2.054826, -0.591620
5.000000, -1.061939, -1.793976, -0.721712
5.100000, -1.225407, -1.475394, -0.830206
5.200000, -1.354566, -1.107772, -0.913856
5.300000, -1.445024, -0.701402, -0.970159
5.400000, -1.493489, -0.267895, -0.997430
5.500000, -1.497876, 0.180152, -0.994853
5.600000, -1.457393, 0.629514, -0.962505
5.700000, -1.372581, 1.066732, -0.901354
5.800000, -1.245319, 1.478507, -0.813229
5.900000, -1.078788, 1.852102, -0.700769
6.000000, -0.877396, 2.175739, -0.567338
6.100000, -0.646661, 2.438958, -0.416929
6.200000, -0.393066, 2.632956, -0.254044
6.300000, -0.123874, 2.750876, -0.083557
6.400000, 0.153072, 2.788038, 0.089431
6.500000, 0.429579, 2.742117, 0.259743
6.600000, 0.697347, 2.613243, 0.422282
6.700000, 0.948211, 2.404039, 0.572184
6.800000, 1.174392, 2.119575, 0.704963
6.900000, 1.368734, 1.767258, 0.816646
7.000000, 1.524928, 1.356638, 0.903892
7.100000, 1.637718, 0.899159, 0.964088
7.200000, 1.703068, 0.407844, 0.995433
7.300000, 1.718307, -0.103077, 0.996991
7.400000, 1.682224, -0.618569, 0.968713
7.500000, 1.595134, -1.123236, 0.911446
7.600000, 1.458883, -1.601776, 0.826905
7.700000, 1.276823, -2.039442, 0.717618
7.800000, 1.053726, -2.422488, 0.586856
7.900000, 0.795671, -2.738606, 0.438533
8.000000, 0.509876, -2.977308, 0.277086
8.100000, 0.204497, -3.130270, 0.107348
8.200000, -0.111598, -3.191619, -0.065603
8.300000, -0.429086, -3.158140, -0.236590
8.400000, -0.738463, -3.029414, -0.400498
8.500000, -1.030328, -2.807875, -0.552420
8.600000, -1.295660, -2.498777, -0.687812
8.700000, -1.526103, -2.110079, -0.802620
8.800000, -1.714220, -1.652248, -0.893410
8.900000, -1.853731, -1.137982, -0.957465
9.000000, -1.939723, -0.581863, -0.992868
9.100000, -1.968814, 0.000054, -0.998559
9.200000, -1.939276, 0.590698, -0.974368
9.300000, -1.851117, 1.172481, -0.921018
9.400000, -1.706102, 1.727816, -0.840108
9.500000, -1.507729, 2.239647, -0.734057
9.600000, -1.261148, 2.691966, -0.606039
9.700000, -0.973035, 3.070310, -0.459886
9.800000, -0.651408, 3.362221, -0.299970
9.900000, -0.305415, 3.557643, -0.131078
10.000000, 0.054931, 3.649268, 0.041736
