t,x,v
0.000000, 0.000000, 1.000000
0.100000, 0.100000, 1.220000
0.200000, 0.222000, 1.463494
0.300000, 0.368349, 1.719603
0.400000, 0.540310, 1.962515
0.500000, 0.736561, 2.144398
0.600000, 0.951001, 2.195525
0.700000, 1.170553, 2.045885
0.800000, 1.375142, 1.674573
0.900000, 1.542599, 1.152225
1.000000, 1.657822, 0.612206
1.100000, 1.719042, 0.161966
1.200000, 1.735239, -0.165574
1.300000, 1.718681, -0.389626
1.400000, 1.679719, -0.543694
1.500000, 1.625349, -0.656460
1.600000, 1.559703, -0.748000
1.700000, 1.484903, -0.831628
1.800000, 1.401741, -0.916560
1.900000, 1.310085, -1.010051
2.000000, 1.209080, -1.118960
2.100000, 1.097184, -1.251018
2.200000, 0.972082, -1.416027
2.300000, 0.830479, -1.627192
2.400000, 0.667760, -1.902560
2.500000, 0.477504, -2.266036
2.600000, 0.250900, -2.745790
2.700000, -0.023679, -3.363479
2.800000, -0.360027, -4.097783
2.900000, -0.769805, -4.794924
3.000000, -1.249297, -5.041298
3.100000, -1.753427, -4.271777
3.200000, -2.180605, -2.589154
3.300000, -2.439520, -1.102481
3.400000, -2.549768, -0.304963
3.500000, -2.580265, 0.075398
3.600000, -2.572725, 0.262433
3.700000, -2.546482, 0.358654
3.800000, -2.510616, 0.410980
3.900000, -2.469518, 0.442083
4.000000, -2.425310, 0.463213
4.100000, -2.378988, 0.479984
4.200000, -2.330990, 0.495200
4.300000, -2.281470, 0.510287
4.400000, -2.230441, 0.526009
4.500000, -2.177840, 0.542834
4.600000, -2.123557, 0.561107
4.700000, -2.067446, 0.581144
4.800000, -2.009332, 0.603283
4.900000, -1.949004, 0.627918
5.000000, -1.886212, 0.655529
5.100000, -1.820659, 0.686712
5.200000, -1.751988, 0.722227
5.300000, -1.679765, 0.763048
5.400000, -1.603460, 0.810448
5.500000, -1.522415, 0.866109
5.600000, -1.435804, 0.932285
5.700000, -1.342576, 1.012044
